name,Dimension 1,Dimension 2,Dimension 4,Dimension 5,Dimension 6,Dimension 8,Dimension 10,Dimension 11,Dimension 12,Dimension 3,Dimension 7,Dimension 9
Aaron Martin Cypess,36.42857142857142,79.06116495287506,50.74,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0
Agata Smogorzewska,43.10344827586207,73.76293853476095,0.0,0.0,0.0,0.0,20.0,0.0,11.11111111111111,0.0,0.0,0.0
Aida Habtezion,54.166666666666664,75.88858353219503,45.71,0.0,25.0,26.09,20.0,0.0,33.333333333333336,0.0,0.0,0.0
Alan Kopin,21.710526315789476,74.0322497573965,0.0,43.28,50.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
Alessia Fornoni,49.16666666666666,76.67567646188618,40.88,0.0,25.0,0.0,40.0,0.0,44.44444444444444,0.0,0.0,0.0
Alexander A. Soukas,26.851851851851855,81.77050086271515,0.0,0.0,0.0,26.9,0.0,0.0,33.333333333333336,0.0,0.0,0.0
Alexander Sasha Krupnick,53.84615384615385,78.60656389285356,28.1,0.0,37.5,28.36,40.0,0.0,0.0,0.0,0.0,0.0
Allan Detsky,45.0,65.80889290451181,0.0,0.0,0.0,71.5,20.0,33.333333333333336,44.44444444444444,0.0,0.0,0.0
Andrew David Auerbach,57.692307692307686,82.66591786941639,25.51,0.0,0.0,64.01,20.0,0.0,22.22222222222222,0.0,0.0,0.0
Anna Diehl,71.42857142857143,79.87299771977396,0.0,22.67,0.0,45.59,0.0,0.0,22.22222222222222,0.0,0.0,0.0
Anna Greka,33.035714285714285,77.54649123164289,0.0,0.0,100.0,0.0,40.0,0.0,22.22222222222222,0.0,0.0,0.0
Ash Arash Alizadeh,78.57142857142857,81.31953551832409,25.51,0.0,50.0,45.79,20.0,0.0,44.44444444444444,0.0,0.0,0.0
Barry Sherman,17.452830188679243,0.0,0.0,42.05,75.0,29.75,90.0,0.0,11.11111111111111,0.0,0.0,0.0
Bernhard Kühn,26.136363636363637,76.79031314297518,39.24,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
Beth Diane Kirkpatrick,42.0,86.99654203358435,69.37,0.0,0.0,49.42,20.0,0.0,11.11111111111111,0.0,0.0,0.0
Brent Hollenbeck,57.692307692307686,76.93069558879077,28.1,0.0,0.0,49.24,0.0,0.0,44.44444444444444,0.0,0.0,0.0
Catherine A Blish,42.96875,83.57162708996783,39.24,0.0,12.5,43.9,0.0,0.0,22.22222222222222,0.0,0.0,0.0
Ching-Hon Pui,94.02173913043478,83.61942579661272,37.23,0.0,12.5,56.61,10.0,0.0,22.22222222222222,0.0,0.0,0.0
Claude Piantadosi,39.5,84.26877607559267,25.51,61.58,0.0,44.99,0.0,0.0,22.22222222222222,0.0,0.0,0.0
Conrad Weihl,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,22.22222222222222,0.0,0.0,0.0
Dennis Slamon,60.84905660377359,88.04361383128726,25.51,69.26,25.0,62.28,60.0,66.66666666666667,0.0,0.0,0.0,0.0
Don Nelson,9.642857142857142,64.38844455064641,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
Douglas Sawyer,42.073170731707314,79.72014067102805,53.77,0.0,0.0,35.1,100.0,0.0,11.11111111111111,0.0,0.0,0.0
Euan Ashley,0.0,0.0,0.0,0.0,87.5,0.0,50.0,33.333333333333336,22.22222222222222,0.0,0.0,0.0
G.R. Budinger,5.95238095238095,61.23844363303359,0.0,0.0,0.0,0.0,10.0,0.0,11.11111111111111,0.0,0.0,0.0
Ganesh Raj,51.5625,75.1466062236424,0.0,0.0,12.5,16.26,20.0,0.0,0.0,0.0,0.0,0.0
Harvey Marver,13.524590163934429,0.0,0.0,0.0,0.0,15.61,0.0,0.0,0.0,0.0,0.0,0.0
Jack Tsao,25.735294117647054,72.8100542104826,65.55,0.0,12.5,34.34,0.0,0.0,0.0,0.0,0.0,0.0
James Lemos,0.6944444444444425,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667,77.77777777777777,0.0,0.0,0.0
Jasmohan Singh Bajaj,98.0,83.10396992291427,100.0,0.0,0.0,39.71,0.0,33.333333333333336,44.44444444444444,0.0,0.0,0.0
Jean-Pierre Issa,94.6969696969697,89.65077142192501,46.13,22.36,12.5,43.25,10.0,0.0,66.66666666666667,0.0,0.0,0.0
Jeffrey R Curtis,100.0,80.82911642670322,57.87,0.0,12.5,62.35,30.0,100.0,0.0,0.0,0.0,0.0
Joseph Bloomer,19.29824561403509,75.86672266937357,28.1,0.0,0.0,29.79,20.0,0.0,11.11111111111111,0.0,0.0,0.0
Joseph Goldstein,89.81481481481482,100.0,0.0,12.03,50.0,52.54,20.0,0.0,33.333333333333336,0.0,0.0,0.0
Juan Pablo Wisnivesky,69.44444444444444,81.94567488079349,76.69,0.0,0.0,62.3,10.0,33.333333333333336,11.11111111111111,0.0,0.0,0.0
Karl Y Bilimoria,82.0,73.9253934004649,47.36,0.0,0.0,58.72,40.0,0.0,22.22222222222222,0.0,0.0,0.0
Keith Adam Choate,35.18518518518518,80.6400027977719,34.63,0.0,0.0,19.54,20.0,0.0,11.11111111111111,0.0,0.0,0.0
Kenneth Mandl,56.42857142857143,81.08114470950292,53.77,0.0,0.0,75.93,10.0,100.0,11.11111111111111,0.0,0.0,0.0
Koji Yasutomo,29.411764705882355,67.17969664722166,0.0,0.0,0.0,15.09,0.0,0.0,22.22222222222222,0.0,0.0,0.0
Louise Laurent,60.57692307692307,78.1919577844659,64.56,0.0,0.0,41.65,0.0,0.0,22.22222222222222,0.0,0.0,0.0
Margaret Feeney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0
Margaret Koziel,29.411764705882355,87.17113074915144,0.0,0.0,37.5,51.74,30.0,0.0,11.11111111111111,0.0,0.0,0.0
Maria Basil,54.54545454545454,72.52245507298294,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0
Maximilian Diehn,82.6923076923077,77.62662505156825,61.34,0.0,12.5,40.84,40.0,0.0,0.0,0.0,0.0,0.0
Naftali Kaminski,75.0,79.5607062569012,47.36,24.73,0.0,43.8,10.0,0.0,55.55555555555556,0.0,0.0,0.0
Nancy Lane,66.25,82.56658819281239,59.95,20.14,0.0,53.72,20.0,66.66666666666667,11.11111111111111,0.0,0.0,0.0
Norman Edelman,16.228070175438596,76.84140796914598,0.0,0.0,0.0,37.12,30.0,33.333333333333336,0.0,0.0,0.0,0.0
Orlando Gutierrez,73.80952380952382,84.75816338039182,84.4,0.0,0.0,37.26,20.0,0.0,11.11111111111111,0.0,0.0,0.0
Oscar Ratnoff,17.559523809523807,78.27675963278597,0.0,0.0,0.0,40.61,20.0,0.0,22.22222222222222,0.0,0.0,0.0
Peter Cram,46.428571428571416,82.15603931306161,0.0,0.0,0.0,62.4,20.0,0.0,0.0,0.0,0.0,0.0
Peter Dobbs Crompton,55.68181818181818,88.05575560583007,76.48,0.0,0.0,38.23,0.0,33.333333333333336,0.0,0.0,0.0,0.0
Peter Macklem,28.174603174603178,65.14908168011496,28.1,46.4,0.0,39.46,30.0,66.66666666666667,33.333333333333336,0.0,0.0,0.0
Randall Urban,32.05128205128205,90.30969497523728,78.49,0.0,0.0,42.41,30.0,0.0,0.0,0.0,0.0,0.0
Rasheed Adebayo Gbadegesin,29.411764705882355,74.92781774392047,25.51,0.0,0.0,19.61,0.0,0.0,33.333333333333336,0.0,0.0,0.0
Reshma Jagsi,94.56521739130434,80.22731866487518,50.74,0.0,0.0,63.62,0.0,33.333333333333336,100.0,0.0,0.0,0.0
Robert Couch,27.77777777777778,80.33012016837267,0.0,0.0,0.0,62.55,20.0,66.66666666666667,11.11111111111111,0.0,0.0,0.0
Robert Eaton,14.754098360655735,88.78841431361057,0.0,45.93,0.0,37.5,20.0,100.0,0.0,0.0,0.0,0.0
Robert William Baloh,41.66666666666667,87.2262845966656,40.88,0.0,12.5,25.02,0.0,0.0,11.11111111111111,0.0,0.0,0.0
Ronald Rieder,8.870967741935484,69.22143552756633,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
Sanford Shattil,45.0,88.66147381163894,0.0,12.32,0.0,15.03,20.0,0.0,11.11111111111111,0.0,0.0,0.0
Sarat Chandarlapaty,35.7843137254902,74.15251320662234,40.88,0.0,37.5,36.24,0.0,0.0,66.66666666666667,0.0,0.0,0.0
Shyamasundaran Kottilil,6.8181818181818175,71.48093823248186,58.31,0.0,12.5,0.0,0.0,66.66666666666667,33.333333333333336,0.0,0.0,0.0
Soumya Raychaudhuri,96.66666666666666,82.66600769604334,0.0,0.0,25.0,46.35,0.0,0.0,33.333333333333336,0.0,0.0,0.0
Stephen Baum,8.870967741935484,88.67245891018533,0.0,0.0,0.0,20.89,10.0,0.0,11.11111111111111,0.0,0.0,0.0
Stephen Desiderio,24.456521739130434,87.937746549949,0.0,0.0,0.0,13.68,0.0,33.333333333333336,33.333333333333336,0.0,0.0,0.0
Stephen Gottschalk,60.15625,84.59983363476407,65.61,54.61,37.5,32.86,10.0,0.0,0.0,0.0,0.0,0.0
Sudhir Shah,36.04651162790697,73.34612853744082,0.0,33.59,12.5,32.53,20.0,33.333333333333336,11.11111111111111,0.0,0.0,0.0
Susan Wall,31.25,78.27779173635932,0.0,0.0,0.0,0.0,0.0,33.333333333333336,11.11111111111111,0.0,0.0,0.0
Trever Grant Bivona,71.875,78.76853436130301,0.0,0.0,12.5,17.08,0.0,0.0,33.333333333333336,0.0,0.0,0.0
Vineet M Arora,72.72727272727273,74.63891935093865,56.48,0.0,0.0,58.94,10.0,33.333333333333336,33.333333333333336,0.0,0.0,0.0
Warren Gold,14.344262295081966,94.4665631676029,0.0,0.0,0.0,37.29,0.0,0.0,11.11111111111111,0.0,0.0,0.0
William Hwang,31.48148148148148,0.0,28.1,23.2,0.0,41.46,0.0,0.0,11.11111111111111,0.0,0.0,0.0
William Tap,86.90476190476191,82.15431615667562,73.91,0.0,25.0,36.26,20.0,0.0,22.22222222222222,0.0,0.0,0.0
Wonder Puryear Drake,39.58333333333333,85.30470180473064,56.3,0.0,0.0,30.78,0.0,33.333333333333336,77.77777777777777,0.0,0.0,0.0
